location_key,latitude,longitude
BADEPANEDA_GEEDAM,18.9854275,81.4424821
GHOTPAL_GEEDAM,19.0133241,81.3967291
NETAPUR_DANTEWADA,18.8206046,81.4054051
BODLI_GEEDAM,18.98000,81.14000
PHULNAR_DANTEWADA,18.85881,81.44611
HAURNAR_GEEDAM,18.9715078,81.409078
GEEDAM_DANTEWADA,18.9754038,81.397147
TIKANPAL_KUWAKONDA,18.6736515,81.3642709
KASOLI_GEEDAM,19.0441276,81.3222921
MADSE_GEEDAM,19.0011277,81.4402165
BADE BACHELI_DANTEWADA,18.6991296,81.275974
CHOLNAR_KUWAKONDA,18.621423,81.3192041
CHITALANKA_DANTEWADA,18.91628,81.34383
BALPET_DANTEWADA,18.9067703,81.3999879
MADADI_KUWAKONDA,18.616434,81.300505
MOLASNAR_DANTEWADA,18.73392,81.33697
HARAM_GEEDAM,18.9732493,81.3853593
NERLI_DANTEWADA,18.7288115,81.2657886
DUGELI_DANTEWADA,18.69097,81.32327
NAGUL_GEEDAM,19.0040532,81.4266347
CHHOTEGUDRA_GEEDAM,18.6686739,81.5040987
NAKULNAR_KUWAKONDA,18.730281,81.4052318
DHANIKARKA_KATEKALYAN,18.7598766,81.4667986
MATENAR_DANTEWADA,18.8679259,81.4300483
PONDUM 02_DANTEWADA,18.9058663,81.4406578
NERLI_DANTEWADA,18.7288115,81.2657886
HALBARAS_KUWAKONDA,18.7157923,81.4464466
BADEKAMELI_DANTEWADA,18.75587,81.2864834
HITAMETA_GEEDAM,19.1533178,81.4069833
CHIKPAL_KATEKALYAN,18.7525542,81.7051729
BHUSARAS_KATEKALYAN,18.6214492,81.5196705
NETAPUR_DANTEWADA,18.8206046,81.4054051
KUTREM_KUWAKONDA,18.57719,81.3009509
POTALI_KUWAKONDA,18.47907,81.36865
GANJENAR_Dantewada,18.7565689,81.3856423
MATENAR_DANTEWADA,18.8679259,81.4300483
KODENAR_KUWAKONDA,18.6556943,81.2584123
NEELAVAYA_KUWAKONDA,18.72270,81.42098
GEEDAM_DANTEWADA,18.9754038,81.397147
MOPHALNAR_GEEDAM,18.999336513412093,81.29016871131107
KAWALNAR_DANTEWADA,18.8935829,81.275028
DHURLI_DANTEWADA,18.78529,81.28410
KUPER_DANTEWADA,18.8738583,81.3120398
MANGNAR_DANTEWADA,19.1890166,81.3528443
METAPAL_DANTEWADA,18.8696207,81.5419006
JODATARAI_GEEDAM,19.0337522,81.3921906
PHULPAD_KUWAKONDA,18.61418,81.39352
HALBARAS_KUWAKONDA,18.7157923,81.4464466
BADEBEDMA_GEEDAM,18.6302435,81.4199105
DUMAM_DANTEWADA,18.9051414,81.5026695
KESHAPUR_DANTEWADA,18.92751,81.27543
KAMALOOR_DANTEWADA,18.8536168,81.2785518
MUCHNAR_DANTEWADA,19.1270494,81.346066
DUGELI_DANTEWADA,18.69097,81.32327
MURKEE_DANTEWADA,18.84299,81.35063
JABELI_KUWAKONDA,18.553372,81.3807921
